Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Exam_Score,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Previous_Scores,Student_ID
15,80,4.75,4.2,Yes,9,91,1.38,Yes,3,4886.5,4.49,Public,Positive,2,No,College,Moderate,Female,67,96219
12,75,5.06,7.14,Yes,7,58,5.01,Yes,3,6125.3,5.44,Private,Positive,4,No,College,Near,Male,66,33810
29,78,5.95,4.87,No,5,99,7.18,Yes,0,7899.76,4.68,Public,Negative,1,No,High School,Moderate,Female,69,86590
19,99,5.08,7.13,No,6,84,4.48,Yes,1,5628.91,7.83,Public,Neutral,3,No,High School,Near,Male,72,36712
20,74,5.72,7.8,No,8,89,0.6,Yes,1,4176.32,4.12,Public,Negative,2,No,College,Moderate,Female,66,36724
11,78,8.37,4.83,Yes,8,100,7.89,Yes,1,4182.24,6.11,Public,Neutral,3,No,High School,Moderate,Male,66,91894
17,65,2.31,8.23,Yes,5,75,6.29,Yes,2,2575.75,4.28,Public,Positive,3,No,High School,Near,Female,63,63347
21,62,7.89,1.28,Yes,6,54,8.5,Yes,0,7872.18,9.84,Public,Positive,3,No,Postgraduate,Far,Male,64,60146
13,91,1.45,3.72,No,6,90,4.61,Yes,1,7424.34,5.77,Public,Negative,2,Yes,High School,Moderate,Female,65,95983
22,83,7.57,7.06,Yes,6,94,4.45,Yes,0,7311.14,4.67,Public,Neutral,2,No,College,Moderate,Male,71,60543
16,90,4.41,4.11,No,4,58,3.45,Yes,1,2849.56,4.64,Public,Neutral,3,No,High School,Moderate,Female,66,30764
18,66,7.37,9.54,No,4,51,2.5,Yes,2,1567.63,6.86,Private,Neutral,2,No,College,Near,Male,64,41061
16,83,1.34,3.42,No,6,57,5.95,Yes,0,7051.28,3.12,Public,Positive,4,Yes,High School,Near,Female,63,89669
31,70,4.78,9.95,Yes,7,66,6.08,Yes,1,7365.6,6.29,Public,Negative,3,No,College,Near,Male,69,19181
20,69,5.4,3.13,Yes,8,96,3.09,Yes,2,6158.23,7.74,Public,Positive,3,No,High School,Near,Male,67,28712
14,60,7.59,4.42,No,5,50,3.68,Yes,2,4862.5,4.64,Public,Neutral,3,No,College,,Female,61,52739
25,65,8.12,4.76,No,5,90,5.22,Yes,2,6128.81,4.39,Public,Positive,3,No,College,Moderate,Female,68,97257
13,72,1.34,3.46,No,6,93,0.27,Yes,1,3363.71,6.97,Public,Negative,3,No,High School,Near,Male,61,89461
21,65,4.44,2.09,Yes,7,91,2.14,Yes,2,4439.36,7.72,Public,Positive,3,No,High School,Far,Female,64,43219
8,99,5.08,3.18,No,9,54,2.71,Yes,2,1700.62,5.12,Public,Neutral,5,No,Postgraduate,Near,Female,67,84251
12,72,2.35,3.42,Yes,8,84,5.4,Yes,1,3674.35,6.19,Public,Positive,5,No,High School,Near,Female,63,90829
21,65,1.58,4.25,Yes,6,98,2.2,Yes,1,6678.31,9.46,Public,Negative,4,No,High School,Near,Male,64,15307
24,68,8.09,3.02,No,8,56,0.36,Yes,3,8710.64,7.57,Public,Neutral,1,No,College,Near,Male,67,12535
21,84,4.92,4.92,Yes,6,52,2.0,Yes,1,4545.44,7.79,Public,Neutral,2,Yes,College,Far,Female,65,45826
19,63,1.68,7.4,No,7,94,3.97,Yes,1,6260.3,4.66,Private,Positive,3,No,High School,Moderate,Male,64,35173
18,94,5.39,8.04,Yes,7,82,4.74,Yes,3,6337.42,4.49,Private,Negative,2,Yes,College,Near,Male,70,37607
11,98,5.96,4.24,Yes,9,82,0.07,Yes,1,5079.28,5.03,Private,Positive,3,No,Postgraduate,Far,Male,68,34108
16,70,4.25,3.41,Yes,8,98,6.74,Yes,2,5089.38,5.85,Public,Positive,3,No,High School,Moderate,Male,65,98725
17,78,4.52,4.72,Yes,6,88,6.7,Yes,1,6303.58,7.03,Private,Positive,3,No,College,Near,Female,68,71289
26,61,5.82,2.25,Yes,6,70,6.8,Yes,2,2343.84,6.55,Public,Positive,3,No,High School,Moderate,Female,64,89508
22,86,1.54,3.51,Yes,7,72,1.59,Yes,3,1107.54,7.67,Public,Positive,2,No,High School,Moderate,Male,68,69246
9,77,5.0,3.24,No,5,57,5.23,Yes,2,4674.38,9.63,Public,Neutral,3,No,High School,Near,Male,63,46971
22,71,1.7,4.59,Yes,7,65,2.34,Yes,1,6934.09,1.8,Public,Positive,4,No,College,Moderate,Male,64,47858
18,68,7.52,4.49,No,7,72,6.61,Yes,0,5917.85,4.04,Public,Neutral,3,No,College,Near,Male,64,59342
16,86,2.18,3.0,Yes,8,63,6.4,Yes,2,4221.05,6.51,Public,Positive,4,No,High School,Near,Male,67,19013
24,77,8.7,1.23,No,8,96,3.94,Yes,0,6429.11,6.91,Public,Neutral,3,No,High School,Near,Female,67,78864
26,67,4.77,9.64,Yes,7,51,1.97,Yes,2,8108.11,9.55,Private,Neutral,4,Yes,Postgraduate,Far,Female,66,74086
26,88,5.84,8.11,Yes,5,79,6.03,Yes,1,4709.7,9.12,Private,Positive,4,No,College,Moderate,Male,72,41297
15,83,5.54,8.37,No,5,89,2.32,No,1,4331.17,9.47,Public,Neutral,2,Yes,High School,Near,Female,65,56656
18,94,4.29,4.48,Yes,6,87,9.39,Yes,1,5737.47,4.93,Public,Positive,4,No,High School,Near,Male,71,21075
22,65,8.81,1.74,No,8,82,6.43,Yes,2,5461.84,9.28,Public,Positive,1,No,Postgraduate,Near,Female,66,48217
26,91,4.13,1.13,Yes,8,71,6.43,Yes,0,4543.49,4.85,Private,Neutral,3,No,High School,Moderate,Male,68,25691
17,87,4.7,3.01,No,7,96,6.11,Yes,1,9658.64,4.66,Public,Negative,5,No,Postgraduate,Near,Female,70,34403
19,65,5.82,4.58,Yes,10,66,0.7,Yes,0,3322.74,5.4,Public,Positive,3,No,High School,Moderate,Male,62,57485
13,88,1.2,9.15,Yes,9,88,9.91,Yes,2,2978.96,9.05,Private,Negative,4,No,Postgraduate,Far,Male,68,64078
13,78,5.25,7.48,Yes,9,96,9.44,Yes,2,3879.97,4.08,Public,Neutral,3,No,College,Moderate,Male,67,28515
25,98,2.38,8.92,Yes,8,56,5.59,No,0,5174.93,7.36,Private,Neutral,3,No,Postgraduate,Near,Male,71,53315
28,66,4.46,7.52,Yes,8,97,3.33,Yes,0,6122.97,5.93,Public,Neutral,2,No,High School,Near,Male,68,48507
20,86,5.33,3.97,Yes,8,89,3.08,Yes,1,3885.91,5.21,Public,Negative,3,No,Postgraduate,Near,Male,69,88471
26,75,2.49,9.92,Yes,4,81,8.55,Yes,3,4919.52,8.36,Private,Positive,2,No,High School,Moderate,Male,70,29815
22,98,5.19,9.54,No,5,69,2.9,No,1,1211.37,7.62,Public,Negative,4,No,High School,Moderate,Female,69,31897
16,73,5.36,3.09,No,7,95,5.38,Yes,1,2586.75,6.52,Public,Negative,4,No,College,Near,Male,65,38419
22,98,4.23,2.19,Yes,7,52,4.71,No,3,6640.73,4.02,Public,Positive,3,No,College,Near,Female,70,30154
29,96,4.96,2.16,Yes,7,72,5.47,Yes,1,1086.16,5.82,Public,Positive,3,No,High School,Moderate,Male,71,74383
20,71,4.82,4.18,Yes,7,88,3.66,Yes,1,2737.73,3.17,Public,Neutral,4,No,College,Near,Female,65,12430
29,92,1.21,4.72,No,4,91,4.99,Yes,2,5217.09,6.94,Public,Negative,1,No,Postgraduate,Near,Female,72,15473
4,100,8.15,9.97,Yes,8,60,8.75,Yes,0,4051.44,8.31,Private,Positive,4,No,College,Moderate,Male,69,71785
25,70,4.01,3.27,No,7,52,6.4,Yes,1,4068.08,6.45,Public,Positive,3,No,Postgraduate,Near,Female,66,68951
21,77,2.49,3.04,Yes,7,90,4.14,Yes,4,4246.77,4.07,Private,Neutral,3,No,Postgraduate,Moderate,Male,68,94872
18,81,8.46,2.37,Yes,8,71,4.62,Yes,0,4951.32,5.41,Public,Neutral,3,No,High School,Moderate,Female,65,41061
21,72,4.39,3.99,Yes,5,57,6.15,Yes,1,9217.61,4.81,Public,Neutral,5,Yes,College,Moderate,Male,64,84154
8,61,4.2,4.04,Yes,7,54,3.61,Yes,1,7667.46,4.91,Public,Positive,3,No,College,Near,Male,60,56555
19,69,4.96,7.96,Yes,7,82,9.18,Yes,1,1523.18,6.79,Public,Negative,2,No,High School,Near,Male,65,28351
22,71,7.26,3.94,No,6,79,7.78,Yes,1,4678.21,1.41,Public,Positive,3,No,High School,Near,Male,66,50672
29,78,8.51,8.0,Yes,4,93,1.23,Yes,5,4313.45,8.15,Public,Neutral,3,No,College,Near,Male,74,43400
17,67,4.91,3.93,Yes,5,52,9.19,Yes,2,6417.99,4.93,Private,Negative,3,No,High School,Far,Female,62,78515
15,95,5.97,4.46,No,7,93,6.8,Yes,2,4624.36,5.48,Public,Positive,4,No,College,Moderate,Male,70,43241
17,88,4.24,9.34,Yes,7,94,1.08,Yes,0,6650.26,6.48,Public,Neutral,3,No,High School,Near,Male,69,57741
25,63,5.12,8.74,Yes,7,72,6.03,Yes,3,5442.02,8.2,Private,Negative,4,No,College,Far,Male,67,36695
22,86,2.53,1.68,No,6,54,3.19,Yes,2,5303.97,5.55,Public,Neutral,0,No,High School,Moderate,Male,64,93851
17,86,4.27,9.02,No,5,97,8.67,Yes,3,7725.3,5.51,Public,Neutral,3,No,College,Near,Male,71,56188
23,98,5.14,1.49,Yes,7,54,0.38,Yes,0,4879.56,6.14,Public,Negative,3,No,College,Near,Female,68,84580
21,60,7.43,4.91,No,7,80,3.63,Yes,0,5970.59,7.03,Public,Neutral,4,Yes,College,Near,Male,64,15175
26,70,4.74,2.98,Yes,8,75,3.69,Yes,1,5690.75,0.72,Private,Neutral,4,Yes,High School,Far,Female,63,27829
16,97,5.36,3.56,Yes,6,92,0.03,Yes,0,9363.89,5.04,Private,Positive,4,No,College,Near,Male,71,27652
18,97,7.7,3.74,Yes,4,75,2.37,Yes,0,1990.3,6.05,Public,Positive,3,No,High School,Moderate,Male,69,69360
18,89,7.79,4.27,Yes,4,73,6.36,Yes,3,9250.48,4.86,Private,Positive,2,No,College,Near,Female,100,95383
11,91,5.02,3.25,No,6,94,6.24,Yes,3,6396.89,4.95,Public,Neutral,3,No,College,Moderate,Male,68,73860
22,64,2.73,3.36,No,7,98,1.93,No,1,4283.82,5.25,Public,Negative,3,No,High School,Near,Male,62,84855
22,81,4.72,4.32,Yes,7,77,2.96,Yes,2,6978.39,5.31,Public,Positive,3,No,Postgraduate,Far,Female,68,97533
20,69,7.54,8.27,Yes,6,73,5.25,Yes,2,1784.56,4.94,Private,Positive,3,No,High School,Far,Male,66,43385
19,67,2.17,4.51,No,5,92,8.21,Yes,0,6639.46,4.92,Public,Positive,3,No,College,Near,Male,64,69604
12,92,5.32,4.49,No,4,92,9.88,Yes,2,5099.19,7.34,Public,Neutral,3,Yes,High School,Moderate,Male,67,38000
17,65,4.72,8.12,Yes,8,66,5.78,Yes,1,9270.03,7.85,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,65,57954
18,79,4.57,4.6,Yes,7,79,6.91,Yes,0,2589.2,8.89,Private,Neutral,3,No,College,Far,Male,65,57878
15,98,7.73,4.58,No,6,58,9.18,Yes,0,2866.37,9.48,Public,Positive,3,No,College,Near,Male,69,62430
19,67,4.2,4.19,No,5,82,7.47,Yes,1,2822.41,0.18,Private,Negative,3,No,High School,Near,Male,63,90122
22,99,4.01,1.6,Yes,6,92,0.22,Yes,3,6636.46,6.41,Public,Negative,4,No,Postgraduate,Moderate,Male,72,99161
31,100,5.77,4.34,No,7,59,4.16,Yes,2,7365.73,7.23,Public,Positive,5,No,Postgraduate,Moderate,Male,76,37242
21,82,5.52,8.27,Yes,7,66,8.66,Yes,3,3795.46,6.35,Public,Positive,3,Yes,College,Near,Female,69,63877
22,67,4.91,4.12,Yes,7,72,7.27,Yes,3,2048.71,8.91,Public,Positive,2,No,Postgraduate,Moderate,Female,67,52636
20,73,7.2,3.86,Yes,9,92,5.22,Yes,2,4850.67,9.56,Public,Positive,3,No,College,Near,Male,69,14350
8,77,7.43,4.18,Yes,6,87,5.33,Yes,0,1545.02,4.68,Public,Neutral,2,No,High School,Moderate,Male,63,88503
20,72,4.2,3.46,No,9,66,5.63,Yes,3,2688.83,8.76,Private,Positive,3,No,Postgraduate,Near,Male,67,32628
20,71,2.49,9.53,Yes,7,62,7.32,Yes,2,4501.09,4.5,Public,Negative,5,No,College,Near,Male,66,49737
35,99,8.86,9.63,Yes,7,85,2.36,Yes,2,5595.82,8.54,Private,Neutral,2,No,Postgraduate,Near,Female,79,14874
19,66,4.46,3.67,No,8,74,3.15,Yes,1,9551.19,4.47,Public,Neutral,3,No,High School,Near,Female,64,52388
22,89,8.25,8.96,Yes,6,80,6.01,Yes,1,8996.56,8.14,Public,Positive,3,No,High School,Near,Female,73,82529
20,60,2.91,9.01,No,7,82,7.25,Yes,2,2922.7,8.77,Public,Positive,4,Yes,High School,Near,Male,63,31657
13,84,5.81,3.95,No,5,78,4.21,Yes,1,1852.51,8.43,Public,Positive,2,No,High School,Near,Male,65,79494
27,97,1.06,7.16,Yes,8,81,4.35,Yes,0,7987.23,5.09,Public,Positive,5,No,High School,Near,Female,73,62357
25,72,7.24,8.85,Yes,8,94,2.36,Yes,2,4565.15,5.36,Private,Positive,4,No,College,Moderate,Female,70,74010
25,67,7.37,4.88,No,9,93,7.28,Yes,2,3158.19,7.97,Public,Positive,3,Yes,High School,Near,Female,68,26725
15,86,5.93,4.19,Yes,7,57,3.88,Yes,1,5164.42,4.91,Public,Negative,3,No,College,Near,Male,65,46703
28,89,1.28,8.66,Yes,9,79,7.11,Yes,0,2922.86,4.25,Private,Positive,1,No,College,Moderate,Female,71,41178
12,88,2.56,3.98,No,6,72,0.76,Yes,2,6535.46,4.85,Public,Positive,2,No,College,Far,Male,64,54532
24,73,4.93,8.82,Yes,8,64,3.82,Yes,4,8972.58,6.71,Private,Neutral,3,Yes,College,Moderate,Male,68,79845
33,70,5.37,4.32,Yes,6,82,1.64,Yes,1,4048.17,8.34,Public,Neutral,4,No,College,Near,Male,69,91070
14,98,4.61,4.24,No,7,76,6.02,Yes,0,4034.22,9.46,Private,Positive,4,No,College,Moderate,Female,69,87047
17,97,5.82,4.25,No,8,89,3.8,Yes,1,4001.05,0.0,Public,Neutral,4,No,High School,Far,Male,69,14836
21,78,4.53,4.52,Yes,10,55,5.48,Yes,1,8387.53,3.12,Private,Positive,2,No,College,Near,Male,67,94856
17,94,2.51,3.76,Yes,8,65,0.38,Yes,4,4355.91,6.59,Public,Neutral,6,No,High School,Far,Female,68,38334
11,78,5.01,9.74,Yes,8,51,3.42,Yes,2,1304.34,6.15,Public,Neutral,3,No,Postgraduate,Near,Male,64,13173
20,77,5.85,4.76,No,6,87,2.08,Yes,0,4755.56,8.47,Public,Positive,4,No,High School,Near,Female,66,89328
14,66,7.68,2.17,No,7,96,3.43,Yes,3,1115.54,8.86,Public,Negative,3,No,High School,Near,Male,63,83452
23,77,5.36,3.03,Yes,7,79,4.65,Yes,0,3618.13,8.28,Public,Neutral,2,No,High School,Moderate,Male,66,19704
14,81,5.88,4.36,No,9,81,3.99,Yes,1,2506.95,8.73,Private,Negative,3,No,Postgraduate,Near,Female,66,66461
29,61,4.79,8.37,Yes,7,52,1.91,Yes,3,2294.29,4.32,Private,Positive,3,No,College,Near,Female,67,59751
15,78,8.48,7.41,No,9,75,1.06,Yes,1,4519.78,6.6,Public,Negative,1,No,High School,Near,Male,65,84471
18,91,2.0,4.16,Yes,5,76,5.25,Yes,1,6656.95,6.45,Public,Neutral,3,No,High School,Near,Female,68,68812
25,87,5.64,2.82,No,9,52,9.28,Yes,1,4028.46,8.16,Private,Positive,2,No,High School,Near,Male,68,98839
13,85,7.54,4.6,No,6,89,6.8,Yes,0,8747.66,5.0,Private,Neutral,1,Yes,High School,Near,Male,65,54392
21,96,5.56,3.19,No,8,64,7.82,Yes,2,6458.53,8.1,Public,Neutral,0,No,College,Near,Male,71,80884
28,61,5.85,7.14,No,6,86,8.91,Yes,1,4220.12,4.97,Private,Negative,3,Yes,Postgraduate,Far,Male,65,21460
10,82,5.58,1.06,No,8,70,5.21,Yes,3,3799.49,9.93,Public,Positive,1,Yes,Postgraduate,Near,Female,64,80991
21,91,8.62,3.65,No,6,100,6.09,Yes,0,8422.66,5.74,Private,Neutral,2,No,Postgraduate,Near,Female,72,14516
22,82,5.15,4.25,No,9,61,4.49,Yes,2,1323.52,4.81,Public,Negative,2,Yes,High School,Near,Female,65,85933
25,73,5.54,8.57,No,8,53,9.98,No,0,2646.68,9.74,Private,Negative,5,No,Postgraduate,Near,Female,66,19999
13,65,1.74,8.64,No,6,99,3.34,Yes,0,2787.03,6.04,Private,Negative,4,No,High School,Near,Male,61,54298
12,96,1.76,9.56,Yes,8,62,4.46,Yes,2,5920.96,8.05,Public,Negative,3,No,College,Near,Female,68,66039
23,79,7.66,7.18,Yes,8,82,0.22,Yes,3,4162.98,5.27,Public,Negative,3,Yes,Postgraduate,Moderate,Female,69,68496
22,95,5.81,8.15,Yes,6,69,3.62,Yes,1,2720.56,4.69,Public,Positive,3,No,College,Near,Female,72,35035
22,83,5.84,8.07,Yes,5,82,6.8,Yes,2,1068.94,7.92,Public,Positive,3,No,Postgraduate,Near,Female,71,49070
22,87,7.86,8.51,No,5,80,2.88,Yes,2,4179.1,7.98,Public,Negative,3,No,High School,Near,Female,70,33279
16,92,4.57,8.74,Yes,5,85,1.91,Yes,1,4087.49,5.98,Public,Neutral,2,No,High School,Moderate,Male,68,13074
21,86,2.4,4.22,Yes,5,51,3.17,Yes,2,3715.69,9.25,Public,Positive,2,No,High School,Moderate,Female,67,38541
22,76,4.87,3.41,Yes,8,92,4.04,Yes,1,3093.69,9.89,Public,Neutral,4,No,High School,Near,Female,68,11833
16,81,5.26,4.9,Yes,8,74,5.61,Yes,3,5723.96,6.23,Public,Positive,2,No,Postgraduate,Near,Female,68,87361
31,92,5.86,4.09,Yes,4,76,4.79,Yes,2,5847.31,8.1,Public,Positive,4,Yes,High School,Far,Male,72,58280
23,75,1.22,7.2,No,6,71,0.29,Yes,0,5961.29,5.1,Public,Neutral,2,No,College,Near,Male,65,33856
13,76,5.92,9.31,No,5,99,1.58,Yes,2,6215.9,5.35,Private,Positive,4,No,High School,Near,Female,66,17211
24,64,4.83,4.89,Yes,8,90,9.7,Yes,0,4699.97,9.28,Public,Negative,3,No,High School,Near,Male,65,96389
14,97,5.8,3.14,Yes,6,66,5.36,Yes,2,4783.61,4.97,Public,Negative,3,Yes,College,Near,Female,67,18807
25,64,5.99,7.08,No,5,89,2.12,Yes,2,6235.48,6.26,Public,Neutral,4,No,College,Far,Male,66,53744
27,86,5.63,4.02,No,7,72,2.47,Yes,1,6352.73,8.97,Public,Positive,4,No,High School,Far,Male,69,44804
15,77,5.67,3.14,Yes,8,94,2.4,Yes,0,7045.35,7.47,Public,Positive,3,No,College,Moderate,Male,66,26141
26,76,5.23,8.38,Yes,6,52,5.55,Yes,4,7824.44,2.09,Public,Neutral,3,No,High School,Near,Male,69,89047
22,87,8.83,2.86,Yes,7,68,5.95,No,0,1970.79,5.79,Public,Neutral,2,No,High School,Near,Male,67,26242
25,63,8.4,3.13,Yes,6,71,3.73,Yes,1,5618.05,0.13,Private,Positive,3,No,High School,Near,Male,66,60909
31,84,4.91,4.53,Yes,9,87,4.23,Yes,2,3847.64,5.97,Private,Neutral,3,No,College,Far,Male,71,66318
19,91,8.29,2.64,No,6,59,3.23,Yes,5,4491.22,9.59,Public,Neutral,4,No,College,Moderate,Male,70,14703
15,93,7.22,4.49,No,6,64,6.91,Yes,2,4598.15,8.8,Public,Positive,4,No,Postgraduate,Near,Male,71,89777
15,67,4.74,4.09,Yes,7,86,8.28,Yes,1,8814.83,6.71,Private,Positive,3,No,Postgraduate,Near,Male,66,22593
15,96,4.27,3.17,No,7,54,9.09,No,3,5037.02,9.81,Public,Negative,2,No,High School,Near,Male,67,55080
20,86,7.07,1.5,No,8,60,5.12,Yes,1,4452.59,4.58,Public,Neutral,4,Yes,College,Far,Female,66,87131
22,95,5.66,9.7,No,9,88,2.3,Yes,0,4031.72,9.92,Public,Positive,2,No,Postgraduate,Near,Male,72,33624
22,79,5.58,4.65,No,9,94,5.81,Yes,1,5468.98,6.31,Public,Positive,3,No,High School,Near,Male,68,74858
25,82,5.91,3.34,No,6,86,5.0,No,3,2630.53,7.76,Public,Positive,3,No,High School,Near,Female,69,50339
20,97,5.03,4.76,Yes,7,76,2.73,Yes,2,1925.85,3.36,Private,Positive,3,No,Postgraduate,Near,Male,71,52241
29,96,5.22,4.97,Yes,9,55,1.5,No,0,4327.28,4.24,Public,Neutral,2,No,Postgraduate,Far,Female,70,81389
18,78,4.88,3.18,No,9,91,7.35,Yes,2,9197.67,1.05,Public,Neutral,4,No,College,Far,Female,67,64750
36,71,4.69,4.03,Yes,6,56,3.07,Yes,2,7055.14,4.37,Public,Positive,2,No,High School,Far,Male,69,47882
24,76,1.37,7.67,No,8,69,2.43,Yes,2,5391.26,5.53,Public,Neutral,1,No,High School,Moderate,Male,65,29678
15,76,7.49,7.41,No,8,53,3.46,Yes,1,2289.31,5.73,Public,Neutral,4,No,College,Near,Male,65,50155
14,71,4.92,3.76,Yes,8,85,0.89,Yes,2,4595.26,7.45,Public,Neutral,4,No,High School,Near,Male,64,95722
23,71,1.93,1.11,Yes,9,75,2.54,Yes,1,3351.22,6.66,Public,Negative,2,No,College,Near,Male,63,59205
19,94,1.74,4.64,Yes,5,95,6.5,Yes,3,2834.42,3.4,Public,Positive,2,No,High School,Moderate,Male,69,60870
24,63,4.16,2.88,Yes,6,57,6.73,Yes,1,3182.11,9.29,Private,Neutral,5,No,College,Near,Female,64,14306
23,87,8.18,9.3,Yes,8,91,7.72,Yes,0,7576.55,4.95,Private,Positive,3,No,High School,Moderate,Male,72,66315
20,67,2.35,4.13,Yes,7,76,3.27,Yes,0,4815.11,6.1,Public,Neutral,4,No,High School,Near,Male,63,50297
15,74,2.17,7.11,Yes,4,68,1.29,Yes,3,3106.53,6.63,Public,Positive,3,No,High School,Near,Female,64,70997
11,62,5.54,9.04,Yes,5,82,6.45,Yes,3,9130.02,4.42,Private,Neutral,4,No,College,Moderate,Male,64,76084
17,71,4.49,4.59,Yes,8,90,3.9,Yes,5,6463.03,5.97,Public,Positive,1,No,Postgraduate,Far,Male,67,11731
25,91,4.33,4.51,No,8,72,0.21,Yes,2,5386.49,9.38,Public,Positive,0,No,Postgraduate,Near,Male,71,15422
21,95,4.13,3.3,No,5,62,7.17,Yes,1,5656.7,3.77,Public,Positive,4,No,High School,Near,Male,70,48879
13,69,5.69,2.58,Yes,9,96,2.19,Yes,0,7222.49,4.0,Private,Neutral,4,No,High School,Far,Female,61,67244
21,79,5.99,8.57,Yes,7,66,0.54,Yes,2,1149.28,4.92,Public,Negative,4,No,College,Moderate,Male,67,46138
22,79,7.09,4.62,No,5,100,5.25,Yes,4,7442.25,7.57,Public,Negative,3,No,College,Near,Male,72,53723
15,95,2.6,2.56,Yes,6,88,1.9,Yes,1,2604.82,4.85,Public,Negative,5,No,High School,Near,Male,66,63973
21,91,4.89,7.21,Yes,5,84,6.23,Yes,1,8333.81,0.86,Public,Neutral,2,No,High School,Near,Male,70,36453
20,81,7.3,3.9,Yes,6,51,8.68,No,3,5184.79,6.93,Public,Neutral,4,Yes,High School,Near,Male,67,38683
13,87,8.68,2.07,Yes,4,72,3.61,Yes,2,6945.48,8.48,Public,Neutral,3,No,High School,Moderate,Female,67,92556
22,94,2.08,4.22,Yes,7,75,9.77,Yes,2,9933.68,4.84,Public,Neutral,2,No,College,Near,Female,71,38463
23,60,7.06,3.24,Yes,8,69,5.37,Yes,1,1621.66,4.51,Private,Positive,4,No,College,Near,Male,66,74448
26,76,5.08,3.16,Yes,5,57,5.28,Yes,1,5755.6,5.07,Public,Positive,4,No,High School,Near,Male,68,70876
26,96,4.68,3.14,Yes,7,68,3.99,Yes,3,7452.63,5.44,Private,Positive,3,No,College,Near,Female,74,17553
12,90,4.76,1.62,Yes,6,54,5.93,No,1,9545.13,4.73,Public,Neutral,3,No,High School,Near,Male,64,46924
14,82,5.52,4.01,No,8,65,5.83,Yes,1,4382.82,4.78,Private,Positive,3,No,College,Near,Male,65,46472
23,81,1.03,4.59,Yes,4,54,6.9,Yes,1,3649.45,6.49,Public,Neutral,3,No,College,Near,Male,66,91726
23,74,5.82,9.77,Yes,8,88,2.48,Yes,0,4162.44,7.19,Public,Negative,3,Yes,High School,Near,Male,66,61392
23,81,4.61,1.72,No,4,84,5.32,Yes,2,5006.46,6.59,Public,Positive,5,No,High School,Near,Male,68,58407
43,86,7.38,3.22,Yes,7,97,4.67,Yes,2,5471.25,7.62,Public,Positive,1,No,High School,Near,Female,78,53599
23,77,4.08,8.78,Yes,6,69,0.93,Yes,1,4696.61,6.42,Private,Positive,2,No,High School,Moderate,Female,67,44132
